order_date,ship_date,category,subcategory,sales_amount,quantity,discount,customer_region,is_returned
2021-05-12,2021-05-22,Books,Non-Fiction,2218.44,65,0.4534,West,0
2024-12-31,2025-01-05,Clothing,Shoes,3137.47,10,0.1172,South,0
2023-10-07,2023-10-11,Home,Furniture,2717.63,27,0.1947,North,0
2020-03-21,2020-03-28,Toys,Dolls,2100.92,70,0.4489,South,0
2025-06-22,2025-06-29,Clothing,Dress,4598.51,69,0.1970,South,1
2020-04-21,2020-04-28,Electronics,Headphones,1694.13,36,0.4160,North,0
2022-10-30,2022-11-05,Electronics,Headphones,4786.86,4,0.0997,North,0
2020-03-24,2020-03-28,Toys,Action Figures,1850.79,96,0.3889,North,0
2021-11-01,2021-11-08,Home,Furniture,389.22,81,0.3486,East,0
2023-05-20,2023-05-29,Sports,Fitness,2534.74,54,0.0528,West,0
2024-01-23,2024-01-28,Sports,Water Sports,3875.46,94,0.1612,East,0
2022-10-02,2022-10-12,Electronics,Tablet,2476.59,63,0.3989,West,0
2023-10-26,2023-10-30,Home,Bedding,3793.24,83,0.2241,East,0
2020-03-11,2020-03-21,Electronics,Tablet,1725.35,71,0.3514,North,0
2023-01-14,2023-01-23,Home,Bedding,965.79,36,0.4883,North,0
2025-11-18,2025-11-24,Toys,Puzzles,0.00,36,0.0273,International,0
2023-04-11,2023-04-12,Sports,Outdoor,2207.94,7,0.4309,East,0
2021-04-12,2021-04-15,Electronics,Headphones,1526.14,16,0.2081,East,0
2022-07-13,2022-07-20,Toys,Dolls,3052.06,98,0.1055,South,0
2020-11-28,,Clothing,Pants,1463.38,91,0.4298,North,0
2020-10-18,2020-10-22,Sports,Outdoor,3241.70,19,0.0830,West,0
2023-06-13,2023-06-18,Toys,Building Blocks,2507.36,11,0.4447,West,0
2023-08-13,2023-08-23,Toys,Puzzles,3826.15,74,0.3781,North,0
2025-04-11,2025-04-19,Toys,Dolls,2047.66,14,0.1649,West,0
2025-07-22,2025-07-28,Home,Lighting,3865.01,1,0.2713,West,0
2024-08-19,2024-08-27,Electronics,Phone,2750.61,57,0.2424,East,0
2020-04-28,,Sports,Outdoor,4208.61,16,0.0770,East,0
2023-04-10,2023-04-18,Toys,Puzzles,4610.12,18,0.1381,South,0
2024-08-26,2024-09-05,Home,Bedding,4327.65,62,0.2760,West,0
2024-03-25,2024-04-01,Books,Textbook,227.80,91,0.1906,West,0
2021-09-15,2021-09-17,Books,Fiction,2634.50,93,0.4355,North,0
2021-09-24,2021-10-01,Electronics,Headphones,4263.18,49,0.3134,West,0
2025-06-21,2025-06-26,Toys,Board Games,2175.52,82,0.0503,East,0
2021-11-12,2021-11-17,Sports,Team Sports,1228.55,88,0.0850,West,1
2020-11-19,2020-11-22,Toys,Dolls,2303.26,60,0.3388,East,0
2021-10-09,2021-10-16,Electronics,Headphones,1517.59,62,0.1907,West,0
2024-01-10,2024-01-17,Toys,Puzzles,3432.14,7,0.3726,International,0
2023-03-18,2023-03-23,Clothing,Jacket,3299.32,81,0.3137,West,0
2020-06-10,2020-06-15,Home,Lighting,1011.97,47,0.4567,North,0
2021-11-04,2021-11-06,Home,Lighting,3773.22,87,0.4900,International,0
2024-02-07,2024-02-12,Electronics,Headphones,4702.06,30,0.3098,North,0
2023-09-05,2023-09-10,Toys,Action Figures,236.28,64,0.1174,East,0
2021-07-09,2021-07-18,Books,Comics,781.07,13,0.3078,South,0
2023-02-19,2023-02-25,Electronics,Tablet,2726.88,46,0.1379,North,0
2021-05-15,2021-05-16,Books,Fiction,4944.22,27,0.3826,East,0
2022-04-28,2022-05-08,Toys,Action Figures,,19,0.2701,West,0
2021-12-15,2021-12-25,Electronics,Laptop,271.47,68,0.0318,North,0
2025-01-10,2025-01-19,Home,Furniture,165.44,52,0.0540,South,0
2024-12-21,2024-12-31,Electronics,Laptop,1632.68,68,0.2528,South,0
2024-10-28,2024-11-01,Electronics,Laptop,2074.93,52,0.0475,West,0
2024-10-14,2024-10-16,Home,Bedding,2165.06,48,0.2782,South,0
2023-09-12,2023-09-19,Sports,Fitness,4842.31,46,0.2537,South,0
2021-09-25,2021-10-01,Sports,Water Sports,1138.53,72,0.4092,North,0
2020-04-17,2020-04-23,Toys,Puzzles,724.82,9,0.3166,North,0
2020-05-05,2020-05-11,Electronics,Camera,4707.62,7,0.3772,North,0
2020-07-22,2020-07-30,Sports,Fitness,2566.61,15,0.3392,South,0
2025-06-16,2025-06-17,Toys,Puzzles,3839.07,38,0.0039,North,0
2024-10-29,2024-11-04,Clothing,Pants,221.09,10,0.2879,South,0
2024-07-14,2024-07-17,Sports,Water Sports,4161.81,12,0.0529,South,0
2024-11-19,2024-11-25,Toys,Dolls,391.13,68,0.4530,East,0
2023-12-02,2023-12-12,Home,Kitchen,386.01,81,0.3772,North,0
2025-01-12,2025-01-14,Sports,Team Sports,3983.69,46,0.1552,West,0
2025-01-25,2025-01-27,Electronics,Laptop,2318.93,95,0.2249,South,0
2022-02-10,2022-02-16,Home,Lighting,3234.17,91,0.2197,East,0
2025-11-11,2025-11-17,Toys,Action Figures,3158.12,43,0.3392,South,0
2023-03-09,2023-03-15,Home,Kitchen,3314.05,91,0.1548,South,0
2024-03-22,2024-03-31,Sports,Team Sports,2547.36,40,0.1071,West,0
2025-06-14,2025-06-16,Clothing,Pants,3695.83,85,0.3832,International,0
2021-06-20,2021-06-30,Toys,Dolls,2193.99,87,0.4848,North,0
2023-03-13,2023-03-21,Sports,Water Sports,3394.75,57,0.1409,North,0
2024-04-13,2024-04-23,Toys,Building Blocks,3209.48,71,0.3557,South,0
2025-10-14,2025-10-23,Electronics,Tablet,4732.60,58,0.4652,North,0
2024-08-26,2024-09-01,Electronics,Headphones,504.42,43,0.0688,East,0
2023-03-21,2023-03-23,Books,Non-Fiction,,20,0.3636,West,0
2025-12-01,2025-12-05,Books,Fiction,2291.00,64,0.0082,West,0
2025-10-11,,Toys,Action Figures,944.70,68,0.0338,East,0
2025-11-24,2025-12-02,Toys,Building Blocks,1872.78,46,0.1724,West,0
2021-02-28,2021-03-03,Toys,Puzzles,4904.29,24,0.0316,North,0
2025-02-17,2025-02-23,Electronics,Tablet,4945.72,33,0.3235,North,0
2023-03-17,2023-03-23,Home,Furniture,2204.29,44,0.2481,West,0
2025-07-30,2025-08-09,Home,Bedding,1475.89,42,0.1532,West,0
2024-10-11,2024-10-17,Clothing,Shoes,3200.95,8,0.3188,South,1
2024-01-28,2024-02-05,Toys,Action Figures,3894.79,50,0.0162,West,0
2021-09-20,2021-09-30,Sports,Water Sports,1578.78,15,0.0930,West,0
2025-10-21,2025-10-31,Books,Fiction,2461.09,10,0.4493,South,0
2024-12-28,2025-01-02,Electronics,Tablet,3561.93,82,0.1807,East,0
2022-07-07,2022-07-13,Electronics,Phone,4020.27,79,0.0329,West,0
2024-06-18,2024-06-20,Sports,Water Sports,380.08,67,0.4390,East,0
2022-01-15,2022-01-24,Clothing,Shoes,1620.08,45,0.2594,East,0
2023-03-09,2023-03-14,Electronics,Tablet,3208.53,75,0.3294,North,0
2023-10-14,2023-10-24,Toys,Board Games,2864.96,4,0.3136,West,1
2023-04-01,2023-04-06,Sports,Team Sports,798.82,60,0.3033,East,0
2023-07-04,2023-07-07,Sports,Team Sports,539.86,16,0.1240,West,0
2021-01-31,2021-02-03,Electronics,Tablet,3608.43,21,0.2574,West,0
2025-08-04,2025-08-08,Home,Lighting,262.20,84,0.1429,North,0
2020-02-03,2020-02-10,Electronics,Headphones,2855.71,71,0.1932,North,0
2025-01-18,2025-01-21,Toys,Puzzles,3976.54,47,0.0995,West,0
2025-09-16,2025-09-24,Books,Fiction,4466.73,79,0.1965,North,0
2023-05-10,2023-05-20,Toys,Puzzles,1848.11,54,0.3984,East,0
2020-04-19,2020-04-29,Toys,Dolls,2921.78,81,0.3873,South,0
2024-04-06,2024-04-07,Clothing,Pants,2070.67,65,0.4603,North,0
2020-09-12,2020-09-20,Sports,Outdoor,874.18,44,0.3379,East,0
2022-12-18,2022-12-22,Toys,Dolls,3858.16,89,0.1585,North,0
2023-11-29,2023-12-06,Toys,Puzzles,4025.03,37,0.0395,South,0
2024-12-16,2024-12-21,Sports,Team Sports,694.99,76,0.0254,West,0
2025-12-15,2025-12-17,Clothing,Pants,4822.95,21,0.4675,North,0
2025-05-02,2025-05-03,Books,Non-Fiction,2874.93,93,0.0186,West,0
2021-12-18,2021-12-26,Books,Non-Fiction,4362.73,5,,West,1
2021-03-15,2021-03-18,Home,Bedding,972.13,21,0.3241,South,0
2022-02-01,2022-02-04,Electronics,Tablet,2033.40,42,0.3346,West,0
2022-01-26,2022-01-30,Clothing,Shoes,1654.83,74,,South,0
2024-01-12,2024-01-19,Sports,Outdoor,4440.13,89,0.4581,North,0
2023-04-23,2023-05-03,Home,Kitchen,4564.86,86,0.3809,North,0
2020-12-01,2020-12-03,Toys,Dolls,2532.38,20,0.4272,East,0
2024-12-14,2024-12-22,Electronics,Phone,2571.11,8,0.3364,East,0
2023-06-16,2023-06-26,Sports,Fitness,3504.92,8,0.0345,South,0
2025-04-17,2025-04-24,Electronics,Tablet,2248.20,49,0.3414,South,0
2021-06-28,2021-07-01,Sports,Team Sports,27.33,39,0.3595,North,0
2024-10-03,2024-10-08,Toys,Dolls,3829.79,85,0.3830,West,0
2020-03-05,2020-03-06,Clothing,Pants,2200.42,97,0.0282,North,0
2025-08-25,2025-09-04,Home,Kitchen,1192.15,85,0.2068,West,0
2023-02-01,2023-02-08,Electronics,Camera,1728.63,49,0.1594,West,0
2024-09-01,2024-09-05,Books,Non-Fiction,3540.81,8,0.4839,South,0
2025-12-10,2025-12-18,Clothing,Shoes,3625.68,35,0.3025,South,0
2020-06-10,2020-06-14,Electronics,Phone,1671.49,2,0.0950,West,0
2021-04-25,2021-05-02,Sports,Water Sports,3879.81,69,0.1542,West,0
2024-01-13,2024-01-19,Toys,Dolls,2075.51,29,0.0081,South,0
2024-09-06,2024-09-10,Home,Kitchen,3427.38,63,0.3208,North,0
2025-07-02,2025-07-11,Books,Non-Fiction,2715.26,8,0.4195,West,0
2020-10-31,2020-11-04,Sports,Fitness,1101.41,8,0.3334,West,0
2025-06-02,2025-06-03,Sports,Water Sports,4887.62,90,0.4031,North,0
2022-01-04,2022-01-09,Electronics,Laptop,1990.51,52,0.1216,East,0
2022-07-14,2022-07-16,Home,Furniture,2385.27,90,0.2499,East,0
2024-11-12,2024-11-21,Sports,Team Sports,4507.35,73,0.0233,East,0
2020-10-31,2020-11-06,Sports,Team Sports,,19,0.3564,West,0
2024-06-19,2024-06-26,Electronics,Tablet,1925.39,89,0.2504,North,0
2023-11-17,2023-11-27,Electronics,Laptop,3870.04,35,0.2253,South,0
2022-07-23,2022-07-25,Home,Lighting,1239.78,35,0.3558,South,0
2021-09-23,,Sports,Water Sports,1356.13,24,0.2785,South,0
2025-09-29,2025-10-09,Books,Fiction,71.58,100,0.4506,North,0
2022-09-21,2022-09-26,Toys,Building Blocks,844.36,39,0.0385,North,0
2022-10-27,2022-11-01,Clothing,Shoes,,80,0.4311,East,0
2024-12-08,2024-12-11,Home,Lighting,3479.51,23,0.4844,West,0
2023-04-08,2023-04-13,Sports,Water Sports,578.30,76,0.0900,International,0
2020-04-20,2020-04-22,Sports,Water Sports,2051.62,82,0.1263,West,0
2021-09-23,2021-10-01,Sports,Water Sports,4618.24,54,0.3954,West,0
2024-01-12,2024-01-15,Sports,Fitness,4918.20,52,0.1658,North,0
2024-10-29,2024-11-07,Electronics,Laptop,2234.43,99,0.3452,North,0
2021-09-09,2021-09-11,Home,Furniture,716.96,59,0.2606,East,0
2023-11-27,2023-12-02,Books,Fiction,122.70,14,0.0822,South,0
2022-09-26,2022-10-04,Toys,Action Figures,930.41,56,0.3687,East,0
2022-03-19,2022-03-21,Books,Comics,2689.08,26,0.1312,South,0
2025-06-27,2025-07-03,Toys,Puzzles,870.91,39,0.2951,East,0
2021-07-02,2021-07-05,Home,Furniture,697.96,24,0.2687,North,0
2021-12-10,2021-12-18,Toys,Action Figures,4759.69,25,0.4819,East,0
2025-09-01,2025-09-09,Sports,Water Sports,163.99,38,0.1124,South,0
2023-03-28,2023-04-06,Clothing,Shoes,3877.81,47,0.3784,East,0
2024-12-12,2024-12-16,Toys,Action Figures,2254.16,12,0.4970,International,0
2022-08-28,2022-09-04,Clothing,Jacket,1041.03,8,0.2661,East,0
2021-11-20,2021-11-22,Home,Bedding,2063.87,36,0.0634,South,0
2021-06-27,2021-07-04,Clothing,Pants,1350.90,58,0.3973,East,0
2021-01-16,2021-01-24,Books,Textbook,0.00,94,0.4861,East,0
2024-01-07,2024-01-15,Electronics,Camera,1695.40,73,0.3942,South,0
2020-07-17,,Electronics,Laptop,2288.03,55,0.3443,East,0
2021-06-24,2021-06-30,Sports,Team Sports,4519.96,51,0.3630,North,0
2022-08-17,2022-08-20,Books,Fiction,2230.88,999,0.4941,East,1
2024-09-25,2024-09-27,Sports,Outdoor,1503.28,97,0.3208,South,0
2021-08-08,2021-08-14,Electronics,Camera,765.36,88,0.1086,East,0
2021-02-15,2021-02-21,Clothing,Shirt,3226.66,77,0.3038,East,0
2020-04-19,2020-04-26,Sports,Team Sports,4490.58,64,0.1205,North,0
2020-10-17,2020-10-27,Toys,Board Games,872.12,99,0.2937,International,0
2020-02-26,2020-03-06,Home,Kitchen,3837.88,52,0.2683,North,0
2021-09-17,2021-09-20,Home,Furniture,3175.13,88,0.1551,South,0
2024-11-26,2024-12-04,Sports,Outdoor,3333.74,23,0.3540,North,0
2020-02-16,2020-02-21,Clothing,Shoes,3907.81,16,0.0147,West,0
2024-10-24,2024-11-01,Home,Furniture,2503.05,48,0.3867,South,0
2021-04-17,,Clothing,Jacket,4601.93,5,0.4570,North,0
2024-09-13,2024-09-15,Clothing,Dress,3369.90,29,0.4907,South,0
2024-06-30,2024-07-02,Electronics,Headphones,0.00,73,0.3698,West,0
2022-09-20,2022-09-24,Books,Textbook,3981.91,53,0.2708,East,0
2020-02-09,2020-02-14,Home,Furniture,1198.46,8,0.0712,West,0
2023-02-20,2023-02-26,Electronics,Laptop,2908.05,82,0.0374,West,0
2020-09-12,2020-09-19,Books,Non-Fiction,1597.11,10,0.0681,North,0
2021-03-22,2021-03-31,Clothing,Shirt,2265.07,16,0.4038,North,0
2023-05-31,2023-06-04,Sports,Fitness,254.26,23,0.2022,North,0
2025-01-26,2025-01-29,Toys,Building Blocks,3906.99,26,0.1861,South,0
2020-12-10,2020-12-12,Toys,Building Blocks,4048.40,43,0.4711,South,0
2020-07-26,2020-08-02,Clothing,Jacket,1081.43,36,0.0743,South,0
2022-10-03,2022-10-05,Sports,Team Sports,1005.29,68,0.4970,East,0
2020-03-20,2020-03-30,Books,Textbook,907.28,29,0.4053,South,0
2023-02-24,2023-02-27,Electronics,Headphones,1339.97,95,0.4982,East,0
2022-06-17,2022-06-20,Toys,Dolls,3693.14,76,0.3503,South,0
2021-08-05,2021-08-14,Toys,Action Figures,460.38,29,,West,0
2025-05-11,2025-05-14,Electronics,Tablet,1624.71,76,0.0708,West,0
2021-03-30,2021-04-06,Toys,Puzzles,1619.79,94,0.3959,International,0
2025-06-18,2025-06-28,Sports,Team Sports,2948.86,40,0.1473,North,0
2021-12-28,2022-01-07,Sports,Fitness,4605.98,29,0.0521,West,0
2025-07-25,2025-07-28,Clothing,Dress,4110.09,94,0.2233,West,0
2022-12-22,2022-12-23,Clothing,Pants,2104.07,53,0.1894,East,0
2024-03-17,2024-03-21,Electronics,Headphones,4230.35,41,0.0524,West,0
2023-11-01,2023-11-03,Clothing,Shoes,4467.20,56,0.0825,North,0
2024-11-13,2024-11-22,Clothing,Shirt,1333.67,31,0.1965,North,0
2025-07-03,2025-07-13,Clothing,Shirt,1042.70,11,0.0578,South,0
2024-06-16,2024-06-23,Books,Comics,1853.31,34,0.1317,West,0
2023-01-05,2023-01-11,Toys,Board Games,3784.72,8,0.4092,North,0
2024-09-10,2024-09-17,Toys,Dolls,2515.49,74,0.3101,East,0
2021-05-07,2021-05-11,Books,Non-Fiction,4941.52,81,0.2975,West,0
2023-08-02,2023-08-07,Sports,Fitness,71.70,76,0.2098,North,0
2024-08-24,2024-08-26,Clothing,Pants,513.94,69,0.4389,East,0
2022-12-17,2022-12-24,Books,Comics,3471.37,43,0.0246,East,0
2025-04-30,2025-05-05,Home,Bedding,3427.41,30,0.4871,North,0
2024-12-19,2024-12-27,Home,Bedding,3707.31,48,0.2576,West,0
2021-10-13,2021-10-22,Electronics,Tablet,971.89,8,0.2282,East,0
2024-01-16,2024-01-18,Sports,Outdoor,2449.05,61,0.1749,South,0
2021-10-31,2021-11-10,Home,Furniture,1114.54,27,0.2048,South,0
2020-03-23,2020-03-24,Sports,Fitness,4715.59,91,0.2119,South,0
2024-03-22,2024-04-01,Home,Lighting,2562.45,48,0.2969,South,0
2023-03-03,2023-03-09,Home,Furniture,3558.36,39,0.2586,East,0
2022-09-11,2022-09-12,Electronics,Camera,1304.54,50,0.2915,South,0
2022-02-16,2022-02-22,Home,Kitchen,4204.79,24,0.2354,East,0
2022-11-25,2022-11-29,Sports,Outdoor,1542.36,43,0.2928,West,0
2025-03-14,2025-03-24,Electronics,Headphones,2507.38,49,0.2066,North,0
2021-09-09,2021-09-17,Clothing,Pants,909.98,43,0.0884,South,0
2020-08-25,2020-08-28,Electronics,Headphones,449.33,82,0.2145,South,0
2025-05-09,2025-05-10,Books,Fiction,2659.86,1,0.1244,North,0
2023-11-11,2023-11-13,Home,Kitchen,1461.23,77,0.2168,North,0
2021-07-02,2021-07-09,Home,Lighting,,17,0.0110,South,0
2025-08-28,2025-09-02,Clothing,Shirt,2973.68,14,0.0099,South,0
2021-04-19,2021-04-22,Books,Comics,56.43,13,0.1350,South,0
2021-07-15,2021-07-17,Books,Fiction,3892.01,26,0.2049,East,0
2021-10-18,2021-10-24,Electronics,Camera,0.00,15,0.3345,East,0
2021-09-02,2021-09-06,Electronics,Camera,1327.98,23,0.4261,North,0
2024-01-15,2024-01-16,Sports,Team Sports,,83,0.1788,South,0
2024-11-27,2024-11-30,Toys,Puzzles,2288.13,89,0.3999,West,0
2021-11-14,2021-11-17,Electronics,Phone,2418.55,57,0.1899,East,0
2024-01-08,2024-01-11,Toys,Board Games,4439.09,9,0.1571,West,0
2025-11-19,2025-11-28,Sports,Outdoor,2169.91,62,0.3381,International,0
2024-04-25,,Clothing,Jacket,2351.75,22,0.2458,West,0
2022-09-13,2022-09-20,Home,Bedding,2226.50,12,0.2235,North,0
2021-05-01,2021-05-02,Books,Fiction,4816.22,66,0.3273,North,0
2025-02-11,2025-02-17,Home,Bedding,2370.94,92,0.0487,West,0
2022-06-27,2022-07-06,Electronics,Tablet,238.43,18,0.3713,South,0
2024-08-03,2024-08-10,Electronics,Tablet,960.99,97,0.4633,East,0
2021-05-19,2021-05-27,Books,Comics,,71,0.4194,East,0
2025-06-01,2025-06-03,Toys,Action Figures,4414.65,50,0.3045,East,0
2022-10-13,2022-10-16,Home,Lighting,4433.32,90,0.1570,International,0
2022-06-09,2022-06-12,Clothing,Pants,4792.05,89,0.3552,East,0
2023-12-13,2023-12-22,Toys,Dolls,4043.44,4,0.0265,East,0
2020-08-19,2020-08-24,Clothing,Dress,3923.94,70,0.4070,West,0
2021-02-23,2021-02-27,Toys,Building Blocks,3483.68,7,0.1938,West,0
2023-07-04,2023-07-12,Toys,Board Games,3526.10,97,0.3692,North,0
2022-03-15,2022-03-18,Sports,Outdoor,605.58,36,0.0650,South,0
2022-11-10,2022-11-16,Electronics,Tablet,3130.58,39,0.2863,South,0
2024-01-06,2024-01-15,Electronics,Tablet,2023.05,28,0.1655,East,0
2023-04-17,2023-04-18,Clothing,Jacket,1209.34,80,0.0199,East,0
2023-08-07,2023-08-16,Books,Fiction,4016.06,6,0.3258,South,0
2023-08-05,2023-08-14,Toys,Board Games,1061.80,28,0.2121,West,0
2021-03-01,2021-03-08,Clothing,Jacket,3736.99,59,0.0189,West,0
2020-10-27,2020-10-31,Electronics,Phone,2261.12,41,,West,0
2021-04-29,2021-05-09,Toys,Board Games,1794.92,38,0.1507,East,0
2020-12-20,2020-12-23,Home,Lighting,1961.05,70,0.3170,South,0
2023-05-05,2023-05-08,Sports,Team Sports,0.00,69,0.0426,West,1
2022-05-10,2022-05-13,Sports,Team Sports,4175.39,24,0.2836,North,0
2020-08-10,2020-08-15,Toys,Dolls,2441.08,17,0.1173,East,0
2023-03-13,2023-03-23,Toys,Board Games,770.45,41,0.0843,West,0
2023-07-06,2023-07-12,Clothing,Pants,4390.65,46,0.2435,East,0
2021-03-21,2021-03-30,Clothing,Jacket,3136.83,3,0.3158,North,0
2024-07-17,2024-07-26,Toys,Action Figures,1835.43,99,0.4286,West,0
2021-07-02,2021-07-12,Books,Fiction,710.45,73,0.3297,South,0
2021-08-21,2021-08-25,Sports,Water Sports,223.61,47,0.4590,West,1
2020-07-09,2020-07-14,Electronics,Tablet,2726.31,84,0.2938,North,0
2020-11-14,2020-11-20,Toys,Puzzles,3965.36,1,0.0695,South,0
2021-11-09,2021-11-12,Clothing,Shirt,600.47,43,0.2408,East,0
2025-05-15,2025-05-19,Books,Non-Fiction,814.03,6,0.0734,East,0
2021-11-12,2021-11-13,Home,Kitchen,4108.30,28,0.4964,East,0
2025-05-26,2025-05-29,Clothing,Pants,846.93,59,0.0344,West,0
2024-03-29,2024-04-07,Books,Non-Fiction,3031.50,79,0.4389,North,0
2025-12-16,2025-12-25,Toys,Board Games,3876.60,67,0.4374,North,0
2025-12-10,2025-12-16,Books,Non-Fiction,3810.08,13,0.1273,West,0
2022-08-10,2022-08-11,Electronics,Tablet,2894.16,1,0.1027,East,0
2023-07-17,2023-07-22,Books,Textbook,1834.56,88,0.1018,North,0
2025-05-30,2025-06-09,Clothing,Dress,3681.55,85,0.1149,East,0
2021-10-24,2021-11-03,Electronics,Phone,812.08,1,0.4116,East,0
2025-04-15,2025-04-25,Toys,Dolls,4922.40,67,0.4818,North,0
2020-08-23,2020-09-01,Clothing,Shoes,3001.58,30,0.3370,South,0
2024-01-13,2024-01-20,Clothing,Shirt,2934.54,95,0.4596,International,0
2023-03-11,2023-03-15,Sports,Team Sports,33.21,65,0.0362,South,0
2023-04-20,2023-04-30,Home,Furniture,1891.63,32,0.4806,West,0
2025-02-22,2025-02-27,Sports,Water Sports,4971.05,30,0.2062,West,0
2023-12-17,2023-12-19,Toys,Building Blocks,1716.54,23,0.1768,North,0
2023-01-07,2023-01-12,Clothing,Pants,1255.98,20,0.0599,East,0
2020-11-17,2020-11-18,Sports,Water Sports,1583.93,74,0.2454,East,0
2025-09-24,2025-10-01,Home,Lighting,2517.35,88,0.2286,North,0
2021-05-08,2021-05-15,Sports,Water Sports,3067.76,71,0.1347,South,1
2023-11-06,2023-11-12,Home,Kitchen,2259.14,74,0.4071,East,0
2023-01-10,2023-01-13,Clothing,Jacket,0.00,18,0.4247,South,0
2025-10-18,2025-10-28,Toys,Puzzles,825.08,33,0.3149,West,0
2025-01-16,2025-01-21,Sports,Team Sports,1761.94,78,0.2879,South,0
2021-12-15,2021-12-23,Home,Bedding,1439.75,19,0.3203,South,0
2023-10-13,2023-10-17,Books,Comics,3555.06,51,0.2224,West,0
2024-01-27,2024-01-31,Sports,Water Sports,3506.48,22,0.0478,South,0
2025-04-22,2025-04-24,Toys,Board Games,430.71,50,0.1237,North,0
2023-03-09,2023-03-15,Books,Non-Fiction,2386.01,70,0.2743,North,0
2021-07-07,2021-07-17,Sports,Outdoor,2673.58,62,0.4024,East,0
2024-12-14,,Home,Bedding,690.14,69,,South,0
2025-07-07,2025-07-11,Books,Textbook,950.97,56,0.0816,North,0
2024-05-15,2024-05-25,Books,Non-Fiction,1430.54,35,0.4267,South,0
2022-01-17,2022-01-27,Clothing,Dress,769.23,3,0.0511,North,0
2023-01-07,2023-01-15,Clothing,Shoes,3930.77,48,0.3957,West,0
2023-09-14,2023-09-22,Electronics,Phone,1257.90,2,0.3841,North,0
2022-10-16,2022-10-18,Books,Comics,2369.40,40,0.0793,South,0
2020-06-21,2020-06-22,Sports,Fitness,573.51,42,,South,0
2023-02-04,2023-02-14,Toys,Board Games,2985.10,12,0.2500,South,0
2023-10-18,2023-10-20,Sports,Fitness,4908.56,97,0.4459,North,0
2022-03-01,2022-03-09,Electronics,Headphones,2718.24,73,0.1738,South,0
2025-04-02,2025-04-07,Home,Kitchen,3881.83,94,0.0094,North,0
2024-01-31,2024-02-07,Toys,Action Figures,3831.01,37,0.3205,South,0
2021-03-28,2021-03-31,Electronics,Camera,2432.00,74,0.1943,East,1
2025-06-29,2025-07-09,Toys,Building Blocks,0.00,84,0.4449,East,0
2020-11-23,2020-11-29,Books,Fiction,3088.50,94,0.1520,South,0
2022-06-03,2022-06-07,Toys,Board Games,3130.37,96,0.3731,North,0
2024-01-06,2024-01-09,Sports,Water Sports,3291.08,77,0.1762,East,0
2023-07-14,2023-07-20,Toys,Puzzles,1077.50,96,0.4808,West,0
2025-01-06,2025-01-15,Books,Fiction,42.78,28,0.0109,West,0
